plz,Einwohner,Breitengrad,Längengrad,ChargingStations,PopulationPerStation
10115,20313,52.53195,13.3838,28.0,700.448275862069
10117,12217,52.51752,13.38777,55.0,218.16071428571428
10119,16363,52.53013,13.40551,7.0,2045.375
10178,12167,52.5203,13.40473,29.0,405.56666666666666
10179,18664,52.51379,13.41524,39.0,466.6
10243,28390,52.51191,13.43733,43.0,645.2272727272727
10245,27732,52.5004,13.45789,17.0,1540.6666666666667
10247,32718,52.51574,13.46513,16.0,1924.5882352941176
10249,25981,52.5232,13.44151,34.0,742.3142857142857
10315,28442,52.51807,13.5144,8.0,3160.222222222222
10317,19072,52.49862,13.48384,20.0,908.1904761904761
10318,22187,52.48309,13.52634,4.0,4437.4
10319,22951,52.50056,13.52299,5.0,3825.1666666666665
10365,22665,52.52057,13.49681,18.0,1192.8947368421052
10367,18902,52.52385,13.48256,5.0,3150.3333333333335
10369,19115,52.531,13.46978,6.0,2730.714285714286
10405,27350,52.53555,13.42569,12.0,2103.846153846154
10407,21632,52.53453,13.45001,20.0,1030.095238095238
10409,21656,52.54423,13.44208,12.0,1665.8461538461538
10435,15359,52.53715,13.4103,6.0,2194.1428571428573
10437,27821,52.5462,13.41097,10.0,2529.181818181818
10439,25939,52.55165,13.40802,14.0,1729.2666666666667
10551,16424,52.53091,13.33645,6.0,2346.285714285714
10553,8986,52.52926,13.32177,11.0,748.8333333333334
10555,15880,52.51988,13.33554,12.0,1221.5384615384614
10557,16266,52.52565,13.36404,60.0,266.655737704918
10559,14796,52.52969,13.34915,38.0,379.38461538461536
10585,12688,52.5163,13.3058,7.0,1586.0
10587,11007,52.51797,13.31885,35.0,305.75
10589,12958,52.52771,13.30523,13.0,925.5714285714286
10623,5742,52.50944,13.32574,24.0,229.68
10625,10488,52.5098,13.31474,3.0,2622.0
10627,11179,52.50752,13.3032,4.0,2235.8
10629,11420,52.50254,13.30733,5.0,1903.3333333333333
10707,11116,52.49596,13.31391,9.0,1111.6
10709,8771,52.49402,13.30305,8.0,974.5555555555555
10711,9794,52.49693,13.28912,6.0,1399.142857142857
10713,10686,52.48505,13.31258,6.0,1526.5714285714287
10715,15464,52.48312,13.32869,6.0,2209.1428571428573
10717,14042,52.49122,13.32794,8.0,1560.2222222222222
10719,8869,52.49828,13.32601,16.0,521.7058823529412
10777,12267,52.49775,13.34348,8.0,1363.0
10779,9214,52.49177,13.34056,1.0,4607.0
10781,11956,52.49359,13.35304,6.0,1708.0
10783,11151,52.4963,13.36454,3.0,2787.75
10785,10438,52.50524,13.36298,61.0,168.3548387096774
10787,5613,52.50699,13.34265,22.0,244.04347826086956
10789,4131,52.50215,13.33801,10.0,375.54545454545456
10823,8295,52.48654,13.35082,2.0,2765.0
10825,9739,52.48385,13.34076,6.0,1391.2857142857142
10827,13930,52.48369,13.35282,5.0,2321.6666666666665
10829,13001,52.47663,13.35639,56.0,228.08771929824562
10961,17874,52.49238,13.39696,10.0,1624.909090909091
10963,12398,52.50006,13.3815,27.0,442.7857142857143
10965,17854,52.48689,13.38657,18.0,939.6842105263158
10967,19571,52.48961,13.41641,18.0,1030.0526315789473
10969,25382,52.50236,13.4022,23.0,1057.5833333333333
10997,23800,52.50135,13.43308,12.0,1830.7692307692307
10999,24321,52.49766,13.4231,12.0,1870.8461538461538
12043,13725,52.47964,13.43936,5.0,2287.5
12045,15523,52.48573,13.43657,6.0,2217.5714285714284
12047,13778,52.49075,13.43027,8.0,1530.888888888889
12049,18890,52.47784,13.42226,2.0,6296.666666666667
12051,22413,52.46663,13.42915,8.0,2490.3333333333335
12053,15373,52.47751,13.43228,13.0,1098.0714285714287
12055,13438,52.47186,13.44744,5.0,2239.6666666666665
12057,14734,52.472,13.46427,19.0,736.7
12059,16059,52.47881,13.45154,7.0,2007.375
12099,14009,52.46473,13.40329,11.0,1167.4166666666667
12101,14976,52.47857,13.37999,9.0,1497.6
12103,18712,52.46353,13.37318,16.0,1100.7058823529412
12105,22534,52.44846,13.37223,9.0,2253.4
12107,19741,52.42827,13.39652,6.0,2820.1428571428573
12109,14955,52.44572,13.39957,9.0,1495.5
12157,18385,52.46535,13.34519,5.0,3064.1666666666665
12159,14565,52.47291,13.33692,8.0,1618.3333333333333
12161,16654,52.47068,13.32606,9.0,1665.4
12163,17576,52.462,13.31759,29.0,585.8666666666667
12165,4803,52.45535,13.31516,8.0,533.6666666666666
12167,18852,52.44922,13.33473,14.0,1256.8
12169,16524,52.45375,13.34369,9.0,1652.4
12203,19299,52.44284,13.31136,40.0,470.7073170731707
12205,13881,52.43376,13.2941,29.0,462.7
12207,21499,52.42076,13.30566,26.0,796.2592592592592
12209,14892,52.41884,13.32696,13.0,1063.7142857142858
12247,19441,52.43895,13.34769,23.0,810.0416666666666
12249,22069,52.4255,13.35038,17.0,1226.0555555555557
12277,13304,52.41542,13.37818,18.0,700.2105263157895
12279,16381,52.4104,13.35286,2.0,5460.333333333333
12305,20742,52.40148,13.39975,3.0,5185.5
12307,11924,52.38921,13.38493,2.0,3974.6666666666665
12309,15900,52.39346,13.4156,0.0,15900.0
